1616999334436|5|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1616999440481|0|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1616999440482|1|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1616999440482|0|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1616999440484|1|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617004671164|1|statement|connection 0|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = ?|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = 1
1617008928151|1|statement|connection 0|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = ?|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = 1
1617008952144|3|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617008952144|3|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617008952145|3|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617008952160|1|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617008952161|1|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617008952161|1|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617008967602|1|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617008967606|1|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 4,4
1617008968747|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617008968751|1|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617008969617|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617008969619|0|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 4,4
1617008970437|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617008970439|0|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617009022330|0|statement|connection 0|SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=? |SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=3 
1617009057213|0|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'sky')
1617009106930|0|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'sky')
1617009117436|0|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'sky')
1617009132263|1|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617009132265|1|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617009132268|1|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617009132271|4|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617009132271|1|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617009132277|0|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617009141826|2|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'sky')
1617009168435|1|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'jack')
1617009175407|0|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'jack')
1617009177424|0|statement|connection 2|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'jack')
1617009177921|0|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'jack')
1617009178089|0|statement|connection 0|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = ?)|SELECT  id,password,phone,company,email,username  FROM bs_user     WHERE (username = 'jack')
1617009183566|1|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617009183570|0|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617009183572|4|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617009183573|1|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617009183579|3|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617009183585|4|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
1617009192550|0|statement|connection 2|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = ?|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = 1
1617009199896|0|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = '1')
1617009199898|0|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = '1') LIMIT 0,4
1617009203469|0|statement|connection 2|SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=? |SELECT id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info FROM bs_book WHERE id=2 
1617009207636|0|statement|connection 1|SELECT  id,count,user_id,book_id  FROM bs_cart     WHERE (user_id = ? AND user_id = ?)|SELECT  id,count,user_id,book_id  FROM bs_cart     WHERE (user_id = 1 AND user_id = 2)
1617009207686|44|statement|connection 1|INSERT INTO bs_cart  ( count, user_id, book_id )  VALUES  ( ?, ?, ? )|INSERT INTO bs_cart  ( count, user_id, book_id )  VALUES  ( 3, 1, 2 )
1617009207714|24|statement|connection 1|INSERT INTO bs_cart  ( count, user_id, book_id )  VALUES  ( ?, ?, ? )|INSERT INTO bs_cart  ( count, user_id, book_id )  VALUES  ( 3, 1, 2 )
1617009207725|0|statement|connection 2|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = ?|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = 1
1617009215342|0|statement|connection 2|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = ?|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = 1
1617009219293|0|statement|connection 0|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = ?|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = 1
1617009226317|0|statement|connection 2|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = ?|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = 1
1617009290100|1|statement|connection 0|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = ?|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = 1
1617009293217|0|statement|connection 0|SELECT  id,count,user_id,book_id  FROM bs_cart     WHERE (user_id = ? AND user_id = ?)|SELECT  id,count,user_id,book_id  FROM bs_cart     WHERE (user_id = 1 AND user_id = 2)
1617009293345|125|statement|connection 0|INSERT INTO bs_cart  ( count, user_id, book_id )  VALUES  ( ?, ?, ? )|INSERT INTO bs_cart  ( count, user_id, book_id )  VALUES  ( 3, 1, 2 )
1617009293373|24|statement|connection 0|INSERT INTO bs_cart  ( count, user_id, book_id )  VALUES  ( ?, ?, ? )|INSERT INTO bs_cart  ( count, user_id, book_id )  VALUES  ( 3, 1, 2 )
1617009293395|3|statement|connection 2|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = ?|SELECT 	bsc.*, bsb.NAME AS bookName, bsb.img_url AS img_url, 	bsb.new_price AS new_price FROM 	bs_cart bsc LEFT JOIN bs_book bsb ON bsc.book_id = bsb.id WHERE 	bsc.user_id = 1
1617009605605|3|statement|connection 2|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 3)
1617009605605|3|statement|connection 0|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 1)
1617009605605|3|statement|connection 1|SELECT COUNT(1) FROM bs_book WHERE (category = ?)|SELECT COUNT(1) FROM bs_book WHERE (category = 2)
1617009605625|1|statement|connection 0|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 1) LIMIT 0,4
1617009605629|1|statement|connection 2|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 3) LIMIT 0,4
1617009605625|1|statement|connection 1|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = ?) LIMIT ?,?|SELECT  id,author_loc,img_url,author,old_price,isbn,publish_date,name,publisher,new_price,suit,category,info  FROM bs_book     WHERE (category = 2) LIMIT 0,4
